Red\Slate,#ff0000,#333333,,,,
Blue\Red,#0000ff,#ff0000,,,,
Blue\Green,#0000ff,#009900,,,,
Blue\Orange,#0000ff,#ff9900,,,,
Blue\Yellow,#0000ff,#ffff00,,,,
Blue\Pink,#0000ff,#ffcccc,,,,
Blue\Purple,#0000ff,#990099,,,,
Blue\Violet,#0000ff,#9966ff,,,,
Blue\Turquoise,#0000ff,#00cccc,,,,
Blue\Gold,#0000ff,#ffcc00,,,,
Blue\Lime,#0000ff,#00ff00,,,,
Blue\Aqua,#0000ff,#00ffff,,,,
Blue\Navy,#0000ff,#000099,,,,
Blue\Coral,#0000ff,#ff9966,,,,
Blue\Teal,#0000ff,#009999,,,,
Blue\Brown,#0000ff,#a8813d,,,,
Blue\White,#0000ff,#ffffff,,,,
Blue\Black,#0000ff,#000000,,,,
Blue\Grey,#0000ff,#999999,,,,
Blue\Baby Blue,#0000ff,#ccffff,,,,
Blue\Light Grey,#0000ff,#cccccc,,,,
Blue\Light Green,#0000ff,#99ff99,,,,
Blue\Rose Gold,#0000ff,#ffcc99,,,,
Blue\Forest Green,#0000ff,#336633,,,,
Blue\Beige,#0000ff,#ffffcc,,,,
Blue\Hot Pink,#0000ff,#ff66cc,,,,
Blue\Pale Yellow,#0000ff,#ffff99,,,,
Blue\Maroon,#0000ff,#990033,,,,
Blue\Red-Orange,#0000ff,#cc3300,,,,
Blue\Light Grey,#0000ff,#cccccc,,,,
Blue\Slate,#0000ff,#333333,,,,
Green\Red,#009900,#ff0000,,,,
Green\Blue,#009900,#0000ff,,,,
Green\Orange,#009900,#ff9900,,,,
Green\Yellow,#009900,#ffff00,,,,
Green\Pink,#009900,#ffcccc,,,,
Green\Purple,#009900,#990099,,,,
Green\Violet,#009900,#9966ff,,,,
Green\Turquoise,#009900,#00cccc,,,,
Green\Gold,#009900,#ffcc00,,,,
Green\Lime,#009900,#00ff00,,,,
Green\Aqua,#009900,#00ffff,,,,
Green\Navy,#009900,#000099,,,,
Green\Coral,#009900,#ff9966,,,,
Green\Teal,#009900,#009999,,,,
Green\Brown,#009900,#a8813d,,,,
Green\White,#009900,#ffffff,,,,
Green\Black,#009900,#000000,,,,
Green\Grey,#009900,#999999,,,,
Green\Baby Blue,#009900,#ccffff,,,,
Green\Light Grey,#009900,#cccccc,,,,
Green\Light Green,#009900,#99ff99,,,,
Green\Rose Gold,#009900,#ffcc99,,,,
Green\Forest Green,#009900,#336633,,,,
Green\Beige,#009900,#ffffcc,,,,
Green\Hot Pink,#009900,#ff66cc,,,,
